userID,movieID,rating,date_day,date_month,date_year,date_hour,date_minute,date_second,realdate,freq
75,296,5,29,10,2006,23,24,49,20061029,1206
75,2571,4.5,29,10,2006,23,30,50,20061029,1285
75,2762,3.5,29,10,2006,23,24,54,20061029,1039
75,2959,4.5,29,10,2006,23,30,12,20061029,1147
75,4993,3.5,29,10,2006,23,30,34,20061029,1216
75,5952,3.5,29,10,2006,23,30,40,20061029,1203
75,7153,3.5,29,10,2006,23,30,36,20061029,1173
75,32587,5,29,10,2006,23,24,51,20061029,1079
170,296,4.5,30,10,2006,12,35,21,20061030,1206
170,318,4,30,10,2006,12,36,21,20061030,1128
170,356,3,30,10,2006,12,35,28,20061030,1216
170,1270,3,30,10,2006,12,38,9,20061030,1046
170,2571,3.5,30,10,2006,12,38,20,20061030,1285
170,2762,3.5,30,10,2006,12,39,11,20061030,1039
170,2858,3.5,30,10,2006,12,30,31,20061030,1111
170,2959,5,30,10,2006,12,31,27,20061030,1147
170,4226,4,30,10,2006,12,33,19,20061030,1002
170,4306,0.5,30,10,2006,12,42,59,20061030,1077
175,260,0.5,4,12,2005,6,36,15,20051204,1026
175,296,5,4,12,2005,6,18,4,20051204,1206
175,318,5,4,12,2005,6,36,5,20051204,1128
175,356,5,4,12,2005,6,36,31,20051204,1216
175,480,5,4,12,2005,6,36,33,20051204,1078
175,593,5,4,12,2005,6,18,7,20051204,1092
175,1270,4,4,12,2005,6,38,4,20051204,1046
175,2571,5,4,12,2005,6,25,10,20051204,1285
175,2762,4,4,12,2005,6,39,11,20051204,1039
175,2858,5,4,12,2005,6,17,27,20051204,1111
175,2959,5,4,12,2005,6,23,40,20051204,1147
175,4226,5,4,12,2005,6,15,56,20051204,1002
175,4993,5,4,12,2005,6,19,46,20051204,1216
175,5952,5,4,12,2005,6,20,12,20051204,1203
175,6874,5,4,12,2005,6,29,5,20051204,1010
175,7153,5,4,12,2005,6,19,22,20051204,1173
175,7361,5,4,12,2005,6,17,7,20051204,1035
175,32587,4,4,12,2005,6,25,49,20051204,1079
175,33794,5,17,7,2006,1,31,17,20060717,1163
190,260,5,9,10,2007,18,32,4,20071009,1026
190,356,4,9,10,2007,18,41,5,20071009,1216
190,480,4.5,16,4,2008,19,58,20,20080416,1078
190,593,0.5,18,10,2007,16,45,51,20071018,1092
190,1270,4,17,3,2006,17,57,11,20060317,1046
190,6539,5,28,5,2007,17,3,56,20070528,1047
190,6874,3,28,11,2007,18,18,50,20071128,1010
190,33794,4.5,14,7,2005,18,46,39,20050714,1163
267,296,2.5,10,10,2007,22,38,45,20071010,1206
267,318,4.5,9,6,2005,19,52,33,20050609,1128
267,356,4,10,10,2007,22,38,53,20071010,1216
267,1270,3.5,29,1,2006,23,40,15,20060129,1046
267,2858,3,30,1,2006,0,1,33,20060130,1111
267,5952,3.5,9,6,2005,19,33,34,20050609,1203
267,6539,2.5,10,10,2007,22,48,37,20071010,1047
267,7361,3.5,29,1,2006,23,56,37,20060129,1035
267,8961,2.5,9,6,2005,19,33,18,20050609,1070
267,33794,3.5,29,1,2006,23,43,42,20060129,1163
325,318,4.5,5,12,2005,2,5,13,20051205,1128
325,356,3.5,9,12,2005,0,28,16,20051209,1216
325,480,4,5,12,2005,2,16,18,20051205,1078
325,1270,4.5,5,12,2005,1,54,37,20051205,1046
325,4306,4,5,12,2005,2,15,49,20051205,1077
325,8961,4.5,5,12,2005,2,2,19,20051205,1070
325,33794,3.5,12,10,2008,0,38,3,20081012,1163
383,260,4,25,10,2006,5,27,55,20061025,1026
383,296,4,11,4,2007,6,5,1,20070411,1206
383,318,5,25,10,2006,5,29,6,20061025,1128
383,480,3,25,10,2006,5,28,15,20061025,1078
383,593,4,25,10,2006,5,28,28,20061025,1092
383,2571,4,25,10,2006,5,28,24,20061025,1285
383,2762,4.5,1,11,2006,8,13,11,20061101,1039
383,2858,4,11,4,2007,6,12,28,20070411,1111
383,4226,4.5,23,11,2006,7,33,12,20061123,1002
383,4993,4,11,4,2007,6,16,14,20070411,1216
383,5952,4,11,4,2007,6,17,25,20070411,1203
383,7153,5,1,11,2006,8,13,58,20061101,1173
383,7361,0.5,28,12,2006,10,3,28,20061228,1035
383,33794,3,11,4,2007,6,4,29,20070411,1163
476,296,4.5,7,6,2006,23,53,38,20060607,1206
476,8961,4,12,1,2007,5,25,58,20070112,1070
476,32587,4,7,6,2006,23,55,3,20060607,1079
476,33794,4,7,6,2006,23,53,26,20060607,1163
477,260,4,28,8,2007,16,51,10,20070828,1026
477,296,4,28,8,2007,17,0,34,20070828,1206
477,318,5,28,8,2007,16,54,48,20070828,1128
477,593,5,28,8,2007,17,1,38,20070828,1092
477,2571,4.5,28,8,2007,16,59,19,20070828,1285
477,2762,4.5,28,8,2007,17,3,54,20070828,1039
477,2959,4.5,28,8,2007,17,0,17,20070828,1147
477,4226,4.5,28,8,2007,16,58,58,20070828,1002
477,4993,4.5,28,8,2007,16,52,2,20070828,1216
477,5952,4.5,28,8,2007,16,52,6,20070828,1203
477,7153,5,28,8,2007,16,52,5,20070828,1173
477,7361,3.5,28,8,2007,17,0,14,20070828,1035
477,8961,4.5,28,8,2007,17,0,58,20070828,1070
477,32587,4,28,8,2007,17,8,25,20070828,1079
477,33794,4.5,28,8,2007,16,59,38,20070828,1163
493,260,4.5,8,7,2008,8,15,39,20080708,1026
493,296,4,7,7,2008,23,5,47,20080707,1206
493,318,5,7,7,2008,22,36,5,20080707,1128
493,356,4,7,7,2008,22,58,27,20080707,1216
493,480,3.5,8,7,2008,8,15,23,20080708,1078
493,780,3,15,7,2008,9,13,41,20080715,1012
493,1270,5,8,7,2008,8,16,45,20080708,1046
493,2571,3.5,7,7,2008,23,13,3,20080707,1285
493,2762,4.5,7,7,2008,23,30,34,20080707,1039
493,2858,4,7,7,2008,22,52,36,20080707,1111
493,2959,4.5,7,7,2008,22,53,32,20080707,1147
493,4226,4,30,7,2008,22,59,25,20080730,1002
