userID,movieID,rating,date_day,date_month,date_year,date_hour,date_minute,date_second,realdate,freq,tot
19714,1,4.0,22,11,2007,15,14,1,20071122,1263,4717.5
6393,2,2.0,3,1,2006,21,31,10,20060103,765,2277.0
1632,3,3.0,9,5,2005,1,16,31,20050509,252,724.0
30500,4,2.0,13,9,2000,20,5,42,20000913,45,116.0
30274,5,3.5,18,2,2004,17,33,30,20040218,225,619.5
30950,6,3.5,3,3,2007,21,25,8,20070303,586,2257.5
47592,7,4.0,31,1,2005,10,19,50,20050131,282,897.5
53379,8,4.0,9,12,2003,0,12,59,20031209,39,106.0
30687,9,2.0,9,6,2006,15,11,59,20060609,61,144.5
56147,10,3.5,3,5,2008,17,59,2,20080503,733,2428.0
51441,11,2.5,24,7,2006,16,32,28,20060724,373,1275.5
51901,12,3.0,3,11,2005,14,0,40,20051103,96,239.0
38527,13,0.5,19,5,2004,6,6,47,20040519,33,90.5
30950,14,3.5,6,3,2007,3,7,34,20070306,82,279.5
66164,15,4.5,10,11,2005,23,56,45,20051110,113,303.5
29942,16,1.0,17,5,2002,23,20,38,20020517,524,2002.5
13815,17,3.0,14,7,1999,18,8,59,19990714,358,1387.5
14498,18,4.0,28,8,2008,20,48,23,20080828,204,688.5
27662,19,3.0,24,5,2005,19,12,55,20050524,723,1848.0
65500,20,3.5,1,4,2004,4,37,23,20040401,129,335.5
19475,21,3.0,20,1,2007,4,43,29,20070120,501,1699.5
5917,22,2.0,10,11,1999,3,12,15,19991110,245,773.0
56915,23,1.0,22,3,2005,12,15,20,20050322,138,424.5
62151,24,5.0,29,10,2000,22,9,38,20001029,209,636.0
62332,25,4.0,15,1,1999,4,46,43,19990115,445,1630.0
37934,26,3.0,10,4,2000,17,44,47,20000410,68,247.5
21672,27,3.5,5,1,2008,8,52,44,20080105,46,152.5
2102,28,5.0,31,3,2006,17,30,5,20060331,66,265.5
60890,29,4.5,17,10,2005,4,13,46,20051017,337,1306.5
46257,30,5.0,8,12,2000,0,58,30,20001208,20,75.0
2204,31,4.0,6,6,2002,22,47,27,20020606,244,729.5
23360,32,4.5,11,7,2005,20,14,14,20050711,1158,4642.5
38875,33,3.0,15,10,2001,2,42,54,20011015,4,13.0
22815,34,3.0,1,2,2007,21,33,6,20070201,770,2530.5
6757,35,3.0,5,7,2002,9,49,42,20020705,33,105.0
13595,36,4.0,15,4,1999,21,51,50,19990415,427,1626.5
41391,37,4.0,11,9,2002,9,53,8,20020911,4,13.5
50893,38,2.5,22,1,2004,16,44,37,20040122,17,37.0
35568,39,2.5,26,3,2008,14,41,46,20080326,648,2100.5
63405,40,3.0,4,2,2001,0,50,59,20010204,17,58.5
78,41,4.5,10,10,2004,15,56,39,20041010,73,290.5
30167,42,2.5,5,10,2003,9,44,58,20031005,67,195.5
50383,43,2.0,5,11,1999,23,24,15,19991105,47,153.5
3174,44,3.5,31,8,2003,6,40,35,20030831,314,770.0
8048,45,3.0,28,4,2006,22,53,42,20060428,201,694.5
26007,46,3.0,15,9,2003,12,0,11,20030915,61,179.0
20348,47,3.5,26,2,2006,14,25,18,20060226,1206,4902.0
47613,48,2.5,15,11,2008,20,13,38,20081115,383,1017.5
30167,49,3.0,5,10,2003,6,49,2,20031005,14,50.0
12064,50,4.0,16,8,2008,10,34,44,20080816,1218,5226.0
54767,52,3.5,9,8,2006,3,32,16,20060809,180,630.0
6757,53,4.0,5,7,2002,8,22,16,20020705,7,24.0
30500,54,2.0,13,9,2000,18,14,39,20000913,19,47.0
62332,55,3.5,7,12,2003,19,46,55,20031207,14,33.5
61805,56,1.5,19,7,2004,8,46,16,20040719,2,3.5
2612,57,5.0,8,6,2002,17,17,3,20020608,42,126.5
2852,58,4.0,27,9,2001,11,43,58,20010927,227,857.5
21693,59,4.0,19,9,2002,16,57,11,20020919,13,45.0
64642,60,3.0,16,2,2008,15,6,34,20080216,123,349.0
18673,61,1.5,2,9,2004,7,47,25,20040902,27,84.0
2204,62,3.5,14,4,2005,20,18,47,20050414,381,1336.5
19982,63,4.0,1,5,2005,7,28,57,20050501,66,201.0
45987,64,1.0,28,1,2005,4,39,27,20050128,18,39.0
23581,65,3.0,8,5,2005,1,57,2,20050508,127,253.0
28350,66,1.5,17,2,2004,18,20,29,20040217,54,100.0
30167,67,2.5,5,10,2003,9,27,1,20031005,1,2.5
5829,68,4.0,4,11,2002,23,58,43,20021104,22,75.5
69504,69,3.0,10,9,2006,12,43,27,20060910,136,471.0
26738,70,4.0,24,11,2001,12,46,51,20011124,491,1583.5
71331,71,3.0,6,11,1999,1,22,46,19991106,28,52.5
45129,72,3.0,7,11,2006,20,24,42,20061107,37,128.0
59468,73,3.0,16,2,2006,1,27,24,20060216,55,215.0
23437,74,3.0,1,6,2007,2,38,50,20070601,45,133.0
30167,75,2.0,5,10,2003,10,21,27,20031005,11,18.0
30167,76,2.5,5,10,2003,9,58,24,20031005,62,184.0
65081,77,3.0,28,11,2001,10,41,18,20011128,2,6.0
26528,78,4.0,17,12,2000,18,59,22,20001217,24,80.0
24695,79,3.0,29,9,2003,3,34,50,20030929,70,193.0
